Designator,Mid X,Mid Y,Rotation,Layer
C1,122.936,-49.276,90.0,bottom
C2,131.5625,-61.8,0.0,bottom
C3,138.0,-51.6,0.0,bottom
C4,122.936,-53.34,270.0,bottom
C5,134.874,-52.0,90.0,bottom
C6,138.0,-47.498,0.0,bottom
C7,126.2,-57.6,180.0,bottom
J1,137.16,-66.802,270.0,top
J2,142.875,-55.245,180.0,top
J3,116.1,-47.752,0.0,top
J4,142.875,-61.468,180.0,top
R1,130.048,-59.6,0.0,bottom
R2,130.048,-57.6,0.0,bottom
R3,138.0,-49.6,0.0,bottom
R4,122.0,-61.8,180.0,bottom
R5,125.8,-61.8,180.0,bottom
U1,129.54,-55.2775,270.0,top
U2,137.16,-58.522,90.0,bottom
U3,129.54,-50.8,180.0,bottom
Y1,120.904,-49.276,270.0,top
